timestamp_localtime,experiment,pioreactor_unit,timestamp,od_reading,angle,channel
2024-04-05 15:59:30,remote working on hardware,pio,2024-04-05T19:59:30.481867Z,0.02594881464773092,90,1
2024-04-05 16:04:33,remote working on hardware,pio,2024-04-05T20:04:33.397298Z,0.05203329718915967,90,1
2024-04-05 16:09:36,remote working on hardware,pio,2024-04-05T20:09:36.430892Z,0.03744029921624945,90,1
2024-04-05 16:14:39,remote working on hardware,pio,2024-04-05T20:14:39.471026Z,0.027708385827054295,90,1
2024-04-05 16:19:42,remote working on hardware,pio,2024-04-05T20:19:42.488749Z,0.029373533210461638,90,1
2024-04-05 16:24:45,remote working on hardware,pio,2024-04-05T20:24:45.520641Z,0.028184500615261673,90,1
2024-04-05 16:29:48,remote working on hardware,pio,2024-04-05T20:29:48.557016Z,0.03081231880438749,90,1
2024-04-05 16:34:51,remote working on hardware,pio,2024-04-05T20:34:51.592471Z,0.030118590317469267,90,1
2024-04-05 16:39:54,remote working on hardware,pio,2024-04-05T20:39:54.615658Z,0.02880844470764871,90,1
2024-04-05 16:44:57,remote working on hardware,pio,2024-04-05T20:44:57.639218Z,0.029987707340082423,90,1
2024-04-05 16:50:00,remote working on hardware,pio,2024-04-05T20:50:00.668476Z,0.0317611799266333,90,1
2024-04-05 16:55:03,remote working on hardware,pio,2024-04-05T20:55:03.699871Z,0.02868001938885565,90,1
2024-04-05 17:00:06,remote working on hardware,pio,2024-04-05T21:00:06.728399Z,0.02816239048783981,90,1
2024-04-05 17:05:09,remote working on hardware,pio,2024-04-05T21:05:09.760089Z,0.02900751586033303,90,1
2024-04-05 17:10:12,remote working on hardware,pio,2024-04-05T21:10:12.791581Z,0.029265906808561396,90,1
2024-04-05 17:15:15,remote working on hardware,pio,2024-04-05T21:15:15.822814Z,0.028274523745693243,90,1
2024-04-05 17:20:18,remote working on hardware,pio,2024-04-05T21:20:18.851270Z,0.03161193316514889,90,1
2024-04-05 17:25:21,remote working on hardware,pio,2024-04-05T21:25:21.881450Z,0.029594910654514316,90,1
2024-04-05 17:30:24,remote working on hardware,pio,2024-04-05T21:30:24.911861Z,0.02942644132083893,90,1
2024-04-05 17:35:27,remote working on hardware,pio,2024-04-05T21:35:27.943479Z,0.029384562122125084,90,1
